task,string_square_sequence,program,distinct_programs,most_frequent_program,abs_count,task_freq,rel_count
1,90,"[{nan: 154, 'R8{}': 2, 'R4{}': 8, 'R2{}': 15, 'R2{}R2{}R2{}R2{}': 2, 'R10{}': 2, 'R3{}': 6, 'R9{}R2{}': 1, 'R5{}': 1}]",9.0,?,191.0,3970.0,0.048110831234256926
1,908-1,"[{'R2{l}': 1, 'R2{lR2{s}}': 1, 'R2{}l': 1, 'l': 7, 'R10{l}': 1, 'lfrf': 1, 'lR4{}': 1, 'lrlr': 1, 'R2{}lrl': 1, 'R7{l}R5{s}': 1, 'R4{ls}f': 2, 'R6{ls}': 1, 'R2{lf}': 1, 'lsfR4{}': 1}]",14.0,l,21.0,3970.0,0.005289672544080605
1,9080,"[{'R3{frf}': 2, 's': 145, 'fR4{r}': 1, 'R4{ff}': 1, 'R4{}fsr': 1, 'R4{}s': 2, 'sR2{}': 14, 'R2{frs}': 2, 'R9{fsr}': 1, 'R5{fsr}': 2, 'f': 5, 'fR2{s}': 1, 'R4{fr}': 3, 'R4{fr}f': 6, 'flR4{}': 1, 'fR4{l}': 1, 'sR10{}': 2, 'sR4{}': 3, 'R2{f}rs': 1, 'sR7{}': 2, 'R2{}s': 4, 'R5{}s': 1, 'sR5{}': 2, 'R10{}s': 2, 'R2{f}': 3, 'fsfs': 1, 'R2{}f': 1, 'R4{fsr}': 2, 'R4{frs}': 4, 'R3{}s': 2, 'sR3{}': 1, 'frR2{f}': 2, 'R4{fs}f': 1, 'R2{}sR2{}': 2, 'R9{f}': 2, 'fsl': 1, 'R10{ffr}': 1, 'R4{fs}': 1, 'R2{fR2{r}}': 1}]",39.0,s,230.0,3970.0,0.05793450881612091
1,90807-1,"[{'R4{sl}': 21, 'slR3{}': 2, 'slsl': 6, 'R4{sl}f': 23, 'sl': 12, 'slsr': 2, 'R10{sl}': 1, 'R2{sl}': 8, 'slR3{}f': 2, 'slsf': 1, 'R5{slf}': 2, 'R2{sl}f': 2, 'R2{sls}': 2, 'slR2{}': 2, 'R5{sl}': 1, 'slR4{}': 1, 'R4{sls}': 3, 'R6{sls}': 1, 'R7{sl}': 1, 'sll': 1, 'sls': 4, 'R8{sl}': 2, 'slR4{}f': 2, 'R9{sR5{l}}': 1, 'slr': 1, 'sR2{l}': 2, 'slsR3{}': 1, 'slR2{s}': 1, 'R2{}sR2{}l': 1, 'sR3{ls}': 1, 'R6{sl}': 1}]",31.0,R4{sl}f,111.0,3970.0,0.02795969773299748
1,908070,"[{'R2{s}': 93, 'R8{sf}': 1, 'sR2{f}': 3, 'R2{sfr}': 6, 'sfr': 7, 'sfsR4{}': 1, 'R5{sfl}': 3, 'R5{sf}': 5, 'R4{sfr}': 17, 'sf': 3, 'sR2{}s': 4, 'sR2{}f': 2, 'R2{s}R2{}': 3, 'R2{sff}': 1, 'R2{sfs}': 4, 'R5{sfr}': 2, 'R2{}R2{}R2{s}': 1, 'ss': 15, 'R10{sf}': 1, 'sR5{fs}': 1, 'R2{sf}f': 1, 'sfrR4{}': 4, 'R4{sf}': 5, 'sR10{}s': 1, 'sR8{f}': 1, 'ssR5{}': 1, 'R4{sf}f': 4, 'sfrs': 2, 'R6{sf}': 1, 'sfR10{}': 1, 'R6{sfr}': 1, 'sR4{fr}': 1, 'R2{sf}': 4, 'R3{}ss': 1, 'sfsf': 2, 'R5{sf}R9{}': 1, 'ssR2{}': 1, 'sfR4{r}': 1, 'R4{}sff': 1, 'sfrl': 1, 'sfl': 1, 'sR7{f}': 1, 'R4{sff}': 1, 'R4{sfs}': 1}]",44.0,R2{s},212.0,3970.0,0.05340050377833753
1,9080706-1,"[{'R2{s}R2{l}': 1, 'R2{s}l': 1}]",2.0,R2{s}R2{l},2.0,3970.0,0.0005037783375314861
1,90807060,"[{'R3{s}': 5, 'ssf': 4, 'ssfR5{}': 1, 'R2{s}R7{}f': 1, 'sR2{s}': 3, 'sss': 2, 'sssR2{}': 2, 'sssR10{}': 1, 'ssfR10{}': 1}]",9.0,R3{s},20.0,3970.0,0.005037783375314861
1,9080706050,"[{'R4{s}': 14, 'sssf': 1, 'ssss': 4, 'ssff': 2, 'R2{ss}': 2, 'R2{s}R2{f}': 3, 'R2{s}ss': 1, 'R2{s}ff': 1, 'ssR2{f}': 2}]",9.0,R4{s},30.0,3970.0,0.007556675062972292
1,90807060504-1,"[{'R4{s}R4{l}': 1, 'R4{s}R2{l}': 1}]",2.0,R4{s}R4{l},2.0,3970.0,0.0005037783375314861
1,908070605040,"[{'R5{s}': 5, 'sR2{sf}': 1, 'R4{s}f': 5, 'ssR3{f}': 1}]",4.0,R5{s},12.0,3970.0,0.003022670025188917
