task,string_square_sequence,program,new_solved,distinct_programs,most_frequent_program,abs_count,task_freq,rel_count
1,90,"[{nan: 31, 'R2{}': 7, 'R4{srfs}': 1, 'R2{}R2{}R2{}R2{}R2{}': 1, 'srR2{s}r': 1}]",41,5.0,?,41.0,150.0,0.2733333333333333
1,908-1,"[{'R2{l}': 1, 'R2{lf}': 1}]",2,2.0,R2{l},2.0,150.0,0.013333333333333334
1,9080,"[{'R4{}s': 1, 's': 9, 'fR4{l}': 1, 'flff': 1, 'sR2{}': 1}]",13,5.0,s,13.0,150.0,0.08666666666666667
1,90807-1,"[{'sl': 1, 'R4{sl}': 1, 'R2{}sR2{}l': 1}]",3,3.0,sl,3.0,150.0,0.02
1,908070,"[{'R2{s}': 5, 'sfrR4{}': 1, 'sfsf': 2, 'R4{sfr}': 1, 'ss': 1}]",10,5.0,R2{s},10.0,150.0,0.06666666666666667
1,9080706050,[{'ssss': 1}],1,1.0,ssss,1.0,150.0,0.006666666666666667
1,908070605040,[{'R5{s}': 1}],1,1.0,R5{s},1.0,150.0,0.006666666666666667
1,90807060504030,[{'R2{ssf}': 2}],2,1.0,R2{ssf},2.0,150.0,0.013333333333333334
1,90807060504030201000,"[{'R8{s}f': 1, 'R9{s}': 1, 'ssR7{f}': 1}]",3,3.0,R8{s}f,3.0,150.0,0.02
1,90807060504030201000-10,"[{'sR10{s}l': 1, 'R10{s}R10{r}': 1, 'R10{s}': 1}]",3,3.0,sR10{s}l,3.0,150.0,0.02
1,90807060504132,[{'R4{s}R4{r}': 2}],2,1.0,R4{s}R4{r},2.0,150.0,0.013333333333333334
1,90807061,[{'ssrs': 1}],1,1.0,ssrs,1.0,150.0,0.006666666666666667
1,908071,"[{'sr': 8, 'srR4{}': 1, 'srR2{}': 1, 'srR2{}R2{}': 1}]",11,4.0,sr,11.0,150.0,0.07333333333333333
1,90807160,[{'srl': 2}],2,1.0,srl,2.0,150.0,0.013333333333333334
1,9080716050,[{'srlf': 2}],2,1.0,srlf,2.0,150.0,0.013333333333333334
1,90807161,"[{'srR3{}f': 1, 'srR4{}f': 1, 'srsR2{}': 2, 'srs': 4, 'R4{srf}': 1, 'R10{srf}': 1, 'srsR3{}': 1}]",11,7.0,srs,11.0,150.0,0.07333333333333333
1,9080716151,[{'srR2{s}': 1}],1,1.0,srR2{s},1.0,150.0,0.006666666666666667
1,90807161514131211101,[{'srR7{s}': 1}],1,1.0,srR7{s},1.0,150.0,0.006666666666666667
1,908071615142,"[{'R5{srs}': 1, 'R6{srs}': 1}]",2,2.0,R5{srs},2.0,150.0,0.013333333333333334
1,9080716152,"[{'srsr': 17, 'R2{sr}': 2}]",19,2.0,srsr,19.0,150.0,0.12666666666666668
1,908071615242332314,[{'R4{sr}': 7}],7,1.0,R4{sr},7.0,150.0,0.04666666666666667
1,90807161524233231404,[{'R4{sr}f': 1}],1,1.0,R4{sr}f,1.0,150.0,0.006666666666666667
1,90807161524233231404-15,[{'R5{sr}': 1}],1,1.0,R5{sr},1.0,150.0,0.006666666666666667
1,90807162,"[{'sR2{r}': 1, 'sR4{r}': 1, 'sR2{r}s': 1, 'sR7{r}f': 1}]",4,4.0,sR2{r},4.0,150.0,0.02666666666666667
1,9081,"[{'rsf': 2, 'R4{r}': 1, 'rssR10{}': 1, 'r': 1, 'R4{rs}': 1}]",6,5.0,rsf,6.0,150.0,0.04
2,32,[{nan: 39}],39,1.0,?,39.0,98.0,0.3979591836734694
2,3221,[{'l': 6}],6,1.0,l,6.0,98.0,0.061224489795918366
2,322110,"[{'llll': 1, 'lll': 1}]",2,2.0,llll,2.0,98.0,0.02040816326530612
2,322111,"[{'lfr': 4, 'lf': 8, 'lff': 2, 'lfff': 1, 'lfrff': 1, 'lfrrff': 1, 'lfl': 1, 'lffrf': 1}]",19,8.0,lf,19.0,98.0,0.19387755102040816
2,322112,[{'lr': 5}],5,1.0,lr,5.0,98.0,0.05102040816326531
2,32211201,[{'lrlllll': 1}],1,1.0,lrlllll,1.0,98.0,0.01020408163265306
2,32211202,[{'lrf': 3}],3,1.0,lrf,3.0,98.0,0.030612244897959183
2,3222,"[{'f': 4, 'ffr': 1, 'fl': 1, 'ffflff': 1, 'ffff': 1, 'frl': 1}]",9,6.0,f,9.0,98.0,0.09183673469387756
2,3223,"[{'r': 8, 'rf': 2, 'rr': 1, 'rrf': 1, 'rffl': 1, 'rlf': 1}]",14,6.0,r,14.0,98.0,0.14285714285714285
3,82,"[{'W!k{l}': 3, nan: 43, 'W{r}': 2, 'W!b{}': 8, 'Wy{rl}': 1, 'Wd{lr}': 1, 'W{}': 6, 'Wk{}r': 1, 'llrrrrlf': 1, 'Wb{l}': 1, 'rlrlr': 1, 'W{lr}': 1, 'W!b{}r': 1, 'rlrl': 1, 'lrrrll': 1, 'W{rl}': 2, 'Wb{rl}': 2, 'W{l}': 1, 'W!b{}lr': 1, 'W!k{}Wb{r}': 1, 'W!k{r}': 1, 'Wd{s}': 1, 'W{f}': 1, 'Wg{rl}': 1, 'lssssssss': 1, 'Wb{r}': 1, 'Wg{r}': 1}]",86,27.0,?,86.0,147.0,0.5850340136054422
3,8271,"[{'lWb{r}': 1, 'lW!k{r}': 1, 'l': 2, 'Wd{r}l': 1, 'lW!b{}': 1}]",6,5.0,l,6.0,147.0,0.04081632653061224
3,827160,[{'ll': 2}],2,1.0,ll,2.0,147.0,0.013605442176870748
3,8271605-1,"[{'W!b{l}': 3, 'lll': 1, 'Wk{l}W{}': 1, 'W!b{W!b{l}}': 1, 'Wk{Wk{l}}': 1, 'Wk{l}': 1}]",8,6.0,W!b{l},8.0,147.0,0.05442176870748299
3,82716051,[{'llr': 2}],2,1.0,llr,2.0,147.0,0.013605442176870748
3,827161,[{'lfr': 1}],1,1.0,lfr,1.0,147.0,0.006802721088435374
3,827162,[{'lrW!y{}': 1}],1,1.0,lrW!y{},1.0,147.0,0.006802721088435374
3,82716251,[{'lrl': 1}],1,1.0,lrl,1.0,147.0,0.006802721088435374
3,827162514231221102,"[{'Wk{lr}': 1, 'W!b{lr}': 1}]",2,2.0,Wk{lr},2.0,147.0,0.013605442176870748
3,82716253,[{'lrr': 1}],1,1.0,lrr,1.0,147.0,0.006802721088435374
3,827162534435,[{'lWk{r}': 1}],1,1.0,lWk{r},1.0,147.0,0.006802721088435374
3,8272,"[{'s': 1, 'ssW{}': 1, 'Wk{s}': 1, 'W!b{f}': 2, 'ff': 1, 'W!g{s}': 1, 'W!b{fr}': 1, 'sss': 1, 'sff': 1}]",10,9.0,W!b{f},10.0,147.0,0.06802721088435375
3,8273,"[{'r': 3, 'rWg{r}': 1, 'W{l}r': 1, 'rW!b{}': 1, 'rW!k{}W!k{}': 1}]",7,5.0,r,7.0,147.0,0.047619047619047616
3,82736251403-1,"[{'rW!b{l}': 2, 'rWk{l}': 1}]",3,2.0,rW!b{l},3.0,147.0,0.02040816326530612
3,82736253,[{'rlr': 2}],2,1.0,rlr,2.0,147.0,0.013605442176870748
3,827363,[{'rf': 1}],1,1.0,rf,1.0,147.0,0.006802721088435374
3,82736455,"[{'Wk{r}l': 2, 'W!b{r}W!b{}': 1, 'W!d{r}': 1, 'W!y{r}W!b{}': 1, 'W!b{r}': 5, 'Wk{r}': 2, 'W!b{r}W{}': 1}]",13,7.0,W!b{r},13.0,147.0,0.08843537414965986
